SPEC,NestBuilding_days,Laying_eggs,Incubation_days,Fledging_days,DelayLow,DelayHigh,DelayAvg
BCCH,10-14,6-8,11-13,14-18,31,39,35
MGWA,,4,11-13,10,25,27,26
ORJU,,3-5,12-13,9-13,24,31,27.5
SOSP,4-10,3-4,12-14,9-12,24,30,27
WIWA,5,4-6,10-13,8-11,22,30,26
AMRO,,4,12-14,14-16,30,34,32
AUWA,,4-5,12-13,10-12,26,30,28
SWTH,,3-4,12-14,10-13,25,31,28
DOWO,13-20,4-5,12,20-25,36,42,39
LISP,,4-5,12-14,9-12,25,31,28
YEWA,,4-5,11-12,9-12,24,29,26.5
GRCA,,4,12-13,10-11,26,28,27
HOWR,,6-8,13,12-18,31,39,35
COYE,,3-5,12,10,25,27,26
BEWR,,5-7,12-14,14,31,35,33
NOCA,,3-4,12-13,9-10,24,27,25.5
OVEN,,4-5,11-13,8-10,23,28,25.5
CARW,,5,12-14,12-14,29,33,31
TUTI,6-11,5-7,13-14,15-18,33,39,36
WOTH,,3-4,13-14,12,28,30,29