SPEC,Species,STI
ORJU,Junco hyemalis,6.16
SOSP,Melospiza melodia,9.95
WIWA,Cardellina pusilla,4.23
MGWA,Oporornis tolmiei,8.7
BCCH,Poecile atricapillus,8.95
AMRO,Turdus migratorius,8.22
SWTH,Catharus ustulatus,8.9
DOWO,Dryobates pubescens,10.26
YEWA,Setophaga petechia,7.97
HOWR,Troglodytes aedon,14.08
GRCA,Dumetella carolinensis,13.72
COYE,Geothlypis trichas,11.95
BEWR,Thryomanes bewickii,18.5
OVEN,Seiurus aurocapilla,11.04
NOCA,Cardinalis cardinalis,19.12
TUTI,Baeolophus bicolor,18.47
WOTH,Hylocichla mustelina,15.69
CARW,Thryothorus ludovicianus,19.74
AUWA,Dendroica coronata,4.77
LISP,Melospiza lincolnii,5.54